"Region","Packaging","Produce_Type","Month","Average_Spec_Volume"
"California","plu4046","conventional","1",1734172.5275
"California","plu4046","conventional","2",1983986.44
"California","plu4046","conventional","3",1744289.456
"California","plu4046","conventional","4",1987947.3425
"California","plu4046","conventional","5",2249222.184
"California","plu4046","conventional","6",2008575.3075
"California","plu4046","conventional","7",2125825.2525
"California","plu4046","conventional","8",1961001.03
"California","plu4046","conventional","9",2080503.86
"California","plu4046","conventional","10",1734645.6275
"California","plu4046","conventional","11",1580684.948
"California","plu4046","conventional","12",1522350.5225
"California","plu4046","organic","1",22133.1725
"California","plu4046","organic","2",21523.445
"California","plu4046","organic","3",24226.826
"California","plu4046","organic","4",38092.38
"California","plu4046","organic","5",30850.832
"California","plu4046","organic","6",34210.03
"California","plu4046","organic","7",34349.13
"California","plu4046","organic","8",24088.252
"California","plu4046","organic","9",22009.9475
"California","plu4046","organic","10",17918.0725
"California","plu4046","organic","11",17214.954
"California","plu4046","organic","12",18103.7625
"California","plu4225","conventional","1",783819.69
"California","plu4225","conventional","2",821649.31
"California","plu4225","conventional","3",669672.9
"California","plu4225","conventional","4",869747.7225
"California","plu4225","conventional","5",997473.668
"California","plu4225","conventional","6",965996.2925
"California","plu4225","conventional","7",856949.6475
"California","plu4225","conventional","8",965134.078
"California","plu4225","conventional","9",721112.6775
"California","plu4225","conventional","10",732642.7475
"California","plu4225","conventional","11",653315.97
"California","plu4225","conventional","12",620297.3825
"California","plu4225","organic","1",13260.775
"California","plu4225","organic","2",16089.9
"California","plu4225","organic","3",25373.536
"California","plu4225","organic","4",29924.275
"California","plu4225","organic","5",25223.004
"California","plu4225","organic","6",20242.975
"California","plu4225","organic","7",20285.4425
"California","plu4225","organic","8",18183.534
"California","plu4225","organic","9",17916.3775
"California","plu4225","organic","10",16200.8825
"California","plu4225","organic","11",64047.57
"California","plu4225","organic","12",59417.1825
"California","plu4770","conventional","1",160544.195
"California","plu4770","conventional","2",202757.605
"California","plu4770","conventional","3",101508.582
"California","plu4770","conventional","4",134525.7725
"California","plu4770","conventional","5",200602.496
"California","plu4770","conventional","6",289171.375
"California","plu4770","conventional","7",238823.6325
"California","plu4770","conventional","8",170253.872
"California","plu4770","conventional","9",212664.88
"California","plu4770","conventional","10",140384.97
"California","plu4770","conventional","11",136223.886
"California","plu4770","conventional","12",163844.61
"California","plu4770","organic","1",19.19
"California","plu4770","organic","2",18.5925
"California","plu4770","organic","3",55.398
"California","plu4770","organic","4",98.9175
"California","plu4770","organic","5",61.588
"California","plu4770","organic","6",62.95
"California","plu4770","organic","7",35.28
"California","plu4770","organic","8",16.272
"California","plu4770","organic","9",17.195
"California","plu4770","organic","10",14.3175
"California","plu4770","organic","11",20.334
"California","plu4770","organic","12",40.49
"GreatLakes","plu4046","conventional","1",774003.435
"GreatLakes","plu4046","conventional","2",811589.355
"GreatLakes","plu4046","conventional","3",877852.05
"GreatLakes","plu4046","conventional","4",1073437.855
"GreatLakes","plu4046","conventional","5",1324567.29
"GreatLakes","plu4046","conventional","6",1161800.9375
"GreatLakes","plu4046","conventional","7",1034272.615
"GreatLakes","plu4046","conventional","8",960093.882
"GreatLakes","plu4046","conventional","9",831261.6
"GreatLakes","plu4046","conventional","10",775848.16
"GreatLakes","plu4046","conventional","11",704724.802
"GreatLakes","plu4046","conventional","12",653692.3725
"GreatLakes","plu4046","organic","1",6882.3025
"GreatLakes","plu4046","organic","2",6261.4225
"GreatLakes","plu4046","organic","3",5224.696
"GreatLakes","plu4046","organic","4",7687.745
"GreatLakes","plu4046","organic","5",7825.626
"GreatLakes","plu4046","organic","6",6085.105
"GreatLakes","plu4046","organic","7",6568.8325
"GreatLakes","plu4046","organic","8",6253.086
"GreatLakes","plu4046","organic","9",5357.2575
"GreatLakes","plu4046","organic","10",4649.345
"GreatLakes","plu4046","organic","11",4851.052
"GreatLakes","plu4046","organic","12",4425.62
"GreatLakes","plu4225","conventional","1",776178.15
"GreatLakes","plu4225","conventional","2",797530.1525
"GreatLakes","plu4225","conventional","3",589633.228
"GreatLakes","plu4225","conventional","4",659915.5125
"GreatLakes","plu4225","conventional","5",791784.998
"GreatLakes","plu4225","conventional","6",699106.525
"GreatLakes","plu4225","conventional","7",746088.7375
"GreatLakes","plu4225","conventional","8",630372.7
"GreatLakes","plu4225","conventional","9",573892.695
"GreatLakes","plu4225","conventional","10",643158.545
"GreatLakes","plu4225","conventional","11",621949.032
"GreatLakes","plu4225","conventional","12",642286.5575
"GreatLakes","plu4225","organic","1",27358.0875
"GreatLakes","plu4225","organic","2",17924.74
"GreatLakes","plu4225","organic","3",17812.596
"GreatLakes","plu4225","organic","4",22913.585
"GreatLakes","plu4225","organic","5",23670.914
"GreatLakes","plu4225","organic","6",19554.2825
"GreatLakes","plu4225","organic","7",21726.595
"GreatLakes","plu4225","organic","8",20030.278
"GreatLakes","plu4225","organic","9",17269.5875
"GreatLakes","plu4225","organic","10",13839.555
"GreatLakes","plu4225","organic","11",20012.188
"GreatLakes","plu4225","organic","12",13127.6025
"GreatLakes","plu4770","conventional","1",279478.715
"GreatLakes","plu4770","conventional","2",291684.8025
"GreatLakes","plu4770","conventional","3",166524.3
"GreatLakes","plu4770","conventional","4",199133.3325
"GreatLakes","plu4770","conventional","5",271631.556
"GreatLakes","plu4770","conventional","6",262512.4225
"GreatLakes","plu4770","conventional","7",352587.9175
"GreatLakes","plu4770","conventional","8",219020.83
"GreatLakes","plu4770","conventional","9",189645.2375
"GreatLakes","plu4770","conventional","10",256746.1725
"GreatLakes","plu4770","conventional","11",256015.848
"GreatLakes","plu4770","conventional","12",235048.4975
"GreatLakes","plu4770","organic","1",22.945
"GreatLakes","plu4770","organic","2",4.035
"GreatLakes","plu4770","organic","3",4.214
"GreatLakes","plu4770","organic","4",1.4575
"GreatLakes","plu4770","organic","5",2.282
"GreatLakes","plu4770","organic","6",11.5975
"GreatLakes","plu4770","organic","7",4.37
"GreatLakes","plu4770","organic","8",6.784
"GreatLakes","plu4770","organic","9",3.755
"GreatLakes","plu4770","organic","10",0
"GreatLakes","plu4770","organic","11",0
"GreatLakes","plu4770","organic","12",0
"Midsouth","plu4046","conventional","1",1064338.35
"Midsouth","plu4046","conventional","2",1160663.57
"Midsouth","plu4046","conventional","3",1312595.04
"Midsouth","plu4046","conventional","4",1480880.135
"Midsouth","plu4046","conventional","5",1705813.494
"Midsouth","plu4046","conventional","6",1481462.4625
"Midsouth","plu4046","conventional","7",1381819.5475
"Midsouth","plu4046","conventional","8",1272240.376
"Midsouth","plu4046","conventional","9",1220757.365
"Midsouth","plu4046","conventional","10",1189598.9025
"Midsouth","plu4046","conventional","11",1099117.958
"Midsouth","plu4046","conventional","12",1092677.7025
"Midsouth","plu4046","organic","1",1575.0475
"Midsouth","plu4046","organic","2",1900.3025
"Midsouth","plu4046","organic","3",2296.796
"Midsouth","plu4046","organic","4",2297.555
"Midsouth","plu4046","organic","5",2843.772
"Midsouth","plu4046","organic","6",2415.7775
"Midsouth","plu4046","organic","7",2370.0825
"Midsouth","plu4046","organic","8",1927.97
"Midsouth","plu4046","organic","9",2072.165
"Midsouth","plu4046","organic","10",2344.18
"Midsouth","plu4046","organic","11",2273.114
"Midsouth","plu4046","organic","12",2234.46
"Midsouth","plu4225","conventional","1",792428.99
"Midsouth","plu4225","conventional","2",878241.645
"Midsouth","plu4225","conventional","3",831260.47
"Midsouth","plu4225","conventional","4",874295.17
"Midsouth","plu4225","conventional","5",995062.126
"Midsouth","plu4225","conventional","6",884531.5175
"Midsouth","plu4225","conventional","7",853481.735
"Midsouth","plu4225","conventional","8",840336.276
"Midsouth","plu4225","conventional","9",791133.3775
"Midsouth","plu4225","conventional","10",675964.66
"Midsouth","plu4225","conventional","11",595030.478
"Midsouth","plu4225","conventional","12",584515.4625
"Midsouth","plu4225","organic","1",23666.125
"Midsouth","plu4225","organic","2",20612.345
"Midsouth","plu4225","organic","3",24659.396
"Midsouth","plu4225","organic","4",28135.74
"Midsouth","plu4225","organic","5",29635.92
"Midsouth","plu4225","organic","6",29604.4875
"Midsouth","plu4225","organic","7",28272.62
"Midsouth","plu4225","organic","8",25542.448
"Midsouth","plu4225","organic","9",21063.6675
"Midsouth","plu4225","organic","10",20132.1075
"Midsouth","plu4225","organic","11",18684.932
"Midsouth","plu4225","organic","12",18240.1625
"Midsouth","plu4770","conventional","1",18764.7825
"Midsouth","plu4770","conventional","2",12898.2075
"Midsouth","plu4770","conventional","3",10953.376
"Midsouth","plu4770","conventional","4",12582.365
"Midsouth","plu4770","conventional","5",19645.778
"Midsouth","plu4770","conventional","6",23412.57
"Midsouth","plu4770","conventional","7",25439.2025
"Midsouth","plu4770","conventional","8",27012.536
"Midsouth","plu4770","conventional","9",16873.12
"Midsouth","plu4770","conventional","10",19503.26
"Midsouth","plu4770","conventional","11",16265.872
"Midsouth","plu4770","conventional","12",13622.63
"Midsouth","plu4770","organic","1",284.7925
"Midsouth","plu4770","organic","2",272.2225
"Midsouth","plu4770","organic","3",233.624
"Midsouth","plu4770","organic","4",211.66
"Midsouth","plu4770","organic","5",265.178
"Midsouth","plu4770","organic","6",185.4925
"Midsouth","plu4770","organic","7",200.51
"Midsouth","plu4770","organic","8",154.292
"Midsouth","plu4770","organic","9",162.855
"Midsouth","plu4770","organic","10",168.1225
"Midsouth","plu4770","organic","11",206.388
"Midsouth","plu4770","organic","12",220.4725
"Northeast","plu4046","conventional","1",266537.2075
"Northeast","plu4046","conventional","2",297954.69
"Northeast","plu4046","conventional","3",476665.484
"Northeast","plu4046","conventional","4",527418.765
"Northeast","plu4046","conventional","5",615848.424
"Northeast","plu4046","conventional","6",580671.125
"Northeast","plu4046","conventional","7",566340.16
"Northeast","plu4046","conventional","8",524957.254
"Northeast","plu4046","conventional","9",467073.42
"Northeast","plu4046","conventional","10",432494.7575
"Northeast","plu4046","conventional","11",419349.284
"Northeast","plu4046","conventional","12",414959.855
"Northeast","plu4046","organic","1",36397.55
"Northeast","plu4046","organic","2",20392.5675
"Northeast","plu4046","organic","3",36526.468
"Northeast","plu4046","organic","4",22553.38
"Northeast","plu4046","organic","5",32931.756
"Northeast","plu4046","organic","6",20430.3425
"Northeast","plu4046","organic","7",16617.145
"Northeast","plu4046","organic","8",14831.94
"Northeast","plu4046","organic","9",15768.39
"Northeast","plu4046","organic","10",18696.15
"Northeast","plu4046","organic","11",15306.724
"Northeast","plu4046","organic","12",13162.0025
"Northeast","plu4225","conventional","1",3029866.115
"Northeast","plu4225","conventional","2",3251956.9
"Northeast","plu4225","conventional","3",2835665.314
"Northeast","plu4225","conventional","4",3085020.475
"Northeast","plu4225","conventional","5",3745276.596
"Northeast","plu4225","conventional","6",3679773.555
"Northeast","plu4225","conventional","7",3644355.5
"Northeast","plu4225","conventional","8",3357730.11
"Northeast","plu4225","conventional","9",3150488.75
"Northeast","plu4225","conventional","10",2872223.4925
"Northeast","plu4225","conventional","11",2703850.518
"Northeast","plu4225","conventional","12",2640485.18
"Northeast","plu4225","organic","1",31166.17
"Northeast","plu4225","organic","2",25870.8575
"Northeast","plu4225","organic","3",45606.066
"Northeast","plu4225","organic","4",30469.0125
"Northeast","plu4225","organic","5",41605.478
"Northeast","plu4225","organic","6",31950.225
"Northeast","plu4225","organic","7",27134.7225
"Northeast","plu4225","organic","8",23217.954
"Northeast","plu4225","organic","9",26327.2875
"Northeast","plu4225","organic","10",24478.2875
"Northeast","plu4225","organic","11",23510.966
"Northeast","plu4225","organic","12",23239.0825
"Northeast","plu4770","conventional","1",22643.415
"Northeast","plu4770","conventional","2",8132.165
"Northeast","plu4770","conventional","3",8245.582
"Northeast","plu4770","conventional","4",10260.63
"Northeast","plu4770","conventional","5",11209.774
"Northeast","plu4770","conventional","6",35312.3975
"Northeast","plu4770","conventional","7",28859.95
"Northeast","plu4770","conventional","8",28917.062
"Northeast","plu4770","conventional","9",11677.3
"Northeast","plu4770","conventional","10",8146.225
"Northeast","plu4770","conventional","11",6791.572
"Northeast","plu4770","conventional","12",7270.7375
"Northeast","plu4770","organic","1",163.15
"Northeast","plu4770","organic","2",433.415
"Northeast","plu4770","organic","3",8.366
"Northeast","plu4770","organic","4",409.27
"Northeast","plu4770","organic","5",335.708
"Northeast","plu4770","organic","6",1206.6225
"Northeast","plu4770","organic","7",1623.31
"Northeast","plu4770","organic","8",286.358
"Northeast","plu4770","organic","9",353.2025
"Northeast","plu4770","organic","10",468.495
"Northeast","plu4770","organic","11",72.438
"Northeast","plu4770","organic","12",42.1375
"Plains","plu4046","conventional","1",812785.69
"Plains","plu4046","conventional","2",906023.2275
"Plains","plu4046","conventional","3",875051.26
"Plains","plu4046","conventional","4",930947.34
"Plains","plu4046","conventional","5",1025560.908
"Plains","plu4046","conventional","6",1005596.395
"Plains","plu4046","conventional","7",932363.6975
"Plains","plu4046","conventional","8",855674.786
"Plains","plu4046","conventional","9",795456.1575
"Plains","plu4046","conventional","10",683346.2875
"Plains","plu4046","conventional","11",647715.626
"Plains","plu4046","conventional","12",619218.085
"Plains","plu4046","organic","1",10743.115
"Plains","plu4046","organic","2",9034.1075
"Plains","plu4046","organic","3",10734.282
"Plains","plu4046","organic","4",21259.465
"Plains","plu4046","organic","5",17755.012
"Plains","plu4046","organic","6",14357.5125
"Plains","plu4046","organic","7",18764.3525
"Plains","plu4046","organic","8",13743.604
"Plains","plu4046","organic","9",15756.5375
"Plains","plu4046","organic","10",10415.6275
"Plains","plu4046","organic","11",7008.392
"Plains","plu4046","organic","12",5928.0775
"Plains","plu4225","conventional","1",488431.7225
"Plains","plu4225","conventional","2",553615.6025
"Plains","plu4225","conventional","3",418159.834
"Plains","plu4225","conventional","4",412739.62
"Plains","plu4225","conventional","5",558811.77
"Plains","plu4225","conventional","6",497424.6025
"Plains","plu4225","conventional","7",472608.5125
"Plains","plu4225","conventional","8",482557.002
"Plains","plu4225","conventional","9",476465.0275
"Plains","plu4225","conventional","10",443371.595
"Plains","plu4225","conventional","11",395066.758
"Plains","plu4225","conventional","12",485811.37
"Plains","plu4225","organic","1",6686.4425
"Plains","plu4225","organic","2",6727.8975
"Plains","plu4225","organic","3",9643.36
"Plains","plu4225","organic","4",6217.3875
"Plains","plu4225","organic","5",5216.388
"Plains","plu4225","organic","6",4949.175
"Plains","plu4225","organic","7",4201.545
"Plains","plu4225","organic","8",4246.086
"Plains","plu4225","organic","9",6928.835
"Plains","plu4225","organic","10",2874.5525
"Plains","plu4225","organic","11",7339.03
"Plains","plu4225","organic","12",2077.505
"Plains","plu4770","conventional","1",18117.3525
"Plains","plu4770","conventional","2",3595.69
"Plains","plu4770","conventional","3",3058.378
"Plains","plu4770","conventional","4",4751.7075
"Plains","plu4770","conventional","5",3624.554
"Plains","plu4770","conventional","6",3193.245
"Plains","plu4770","conventional","7",4259.125
"Plains","plu4770","conventional","8",4859.328
"Plains","plu4770","conventional","9",4110.7525
"Plains","plu4770","conventional","10",2215.1225
"Plains","plu4770","conventional","11",2129.822
"Plains","plu4770","conventional","12",1164.5425
"Plains","plu4770","organic","1",24.355
"Plains","plu4770","organic","2",44.415
"Plains","plu4770","organic","3",60.686
"Plains","plu4770","organic","4",26.31
"Plains","plu4770","organic","5",232.734
"Plains","plu4770","organic","6",47.87
"Plains","plu4770","organic","7",21.9575
"Plains","plu4770","organic","8",28.276
"Plains","plu4770","organic","9",25.795
"Plains","plu4770","organic","10",30.38
"Plains","plu4770","organic","11",17.762
"Plains","plu4770","organic","12",34.2775
"SouthCentral","plu4046","conventional","1",3352758.4775
"SouthCentral","plu4046","conventional","2",3616245.9025
"SouthCentral","plu4046","conventional","3",3411590.422
"SouthCentral","plu4046","conventional","4",3475746.38
"SouthCentral","plu4046","conventional","5",3469832.632
"SouthCentral","plu4046","conventional","6",3254535.86
"SouthCentral","plu4046","conventional","7",2964520.1575
"SouthCentral","plu4046","conventional","8",2861845.712
"SouthCentral","plu4046","conventional","9",2866591.0825
"SouthCentral","plu4046","conventional","10",2423239.7325
"SouthCentral","plu4046","conventional","11",2490624.45
"SouthCentral","plu4046","conventional","12",2358911.2825
"SouthCentral","plu4046","organic","1",18793.6775
"SouthCentral","plu4046","organic","2",24302.17
"SouthCentral","plu4046","organic","3",24290.89
"SouthCentral","plu4046","organic","4",36418.8075
"SouthCentral","plu4046","organic","5",35630.626
"SouthCentral","plu4046","organic","6",18311.03
"SouthCentral","plu4046","organic","7",10716.585
"SouthCentral","plu4046","organic","8",14497.772
"SouthCentral","plu4046","organic","9",13219.1525
"SouthCentral","plu4046","organic","10",15533.0575
"SouthCentral","plu4046","organic","11",14532.388
"SouthCentral","plu4046","organic","12",16363.4125
"SouthCentral","plu4225","conventional","1",680500.1975
"SouthCentral","plu4225","conventional","2",672583.7075
"SouthCentral","plu4225","conventional","3",683794.358
"SouthCentral","plu4225","conventional","4",962797.4125
"SouthCentral","plu4225","conventional","5",853543.076
"SouthCentral","plu4225","conventional","6",656726.385
"SouthCentral","plu4225","conventional","7",664851.75
"SouthCentral","plu4225","conventional","8",754842.398
"SouthCentral","plu4225","conventional","9",725365.3925
"SouthCentral","plu4225","conventional","10",849267.2775
"SouthCentral","plu4225","conventional","11",793097.314
"SouthCentral","plu4225","conventional","12",810183.6
"SouthCentral","plu4225","organic","1",1107.78
"SouthCentral","plu4225","organic","2",1098.7225
"SouthCentral","plu4225","organic","3",1336.524
"SouthCentral","plu4225","organic","4",1573.15
"SouthCentral","plu4225","organic","5",1856.622
"SouthCentral","plu4225","organic","6",1655.7125
"SouthCentral","plu4225","organic","7",1845.93
"SouthCentral","plu4225","organic","8",2216.742
"SouthCentral","plu4225","organic","9",1112.21
"SouthCentral","plu4225","organic","10",1096.2075
"SouthCentral","plu4225","organic","11",1082.824
"SouthCentral","plu4225","organic","12",1005.31
"SouthCentral","plu4770","conventional","1",69400.9525
"SouthCentral","plu4770","conventional","2",77069.07
"SouthCentral","plu4770","conventional","3",32575.876
"SouthCentral","plu4770","conventional","4",72832.55
"SouthCentral","plu4770","conventional","5",122623.724
"SouthCentral","plu4770","conventional","6",146680.425
"SouthCentral","plu4770","conventional","7",184676.1225
"SouthCentral","plu4770","conventional","8",146047.368
"SouthCentral","plu4770","conventional","9",167542.6575
"SouthCentral","plu4770","conventional","10",88573.2325
"SouthCentral","plu4770","conventional","11",83183.948
"SouthCentral","plu4770","conventional","12",100668.27
"SouthCentral","plu4770","organic","1",1456.9
"SouthCentral","plu4770","organic","2",1946.3575
"SouthCentral","plu4770","organic","3",2250.522
"SouthCentral","plu4770","organic","4",2544.23
"SouthCentral","plu4770","organic","5",1936.648
"SouthCentral","plu4770","organic","6",2308.3
"SouthCentral","plu4770","organic","7",1799.945
"SouthCentral","plu4770","organic","8",1026.714
"SouthCentral","plu4770","organic","9",1581.6
"SouthCentral","plu4770","organic","10",1455.015
"SouthCentral","plu4770","organic","11",1247.104
"SouthCentral","plu4770","organic","12",1168.155
"Southeast","plu4046","conventional","1",2347940.9775
"Southeast","plu4046","conventional","2",2277573.09
"Southeast","plu4046","conventional","3",2403357.162
"Southeast","plu4046","conventional","4",2619841.11
"Southeast","plu4046","conventional","5",2988748.738
"Southeast","plu4046","conventional","6",2695247.5575
"Southeast","plu4046","conventional","7",2587742.8775
"Southeast","plu4046","conventional","8",2369564.534
"Southeast","plu4046","conventional","9",2471429.0875
"Southeast","plu4046","conventional","10",2263170.715
"Southeast","plu4046","conventional","11",2090544.364
"Southeast","plu4046","conventional","12",1990867.5025
"Southeast","plu4046","organic","1",1475.285
"Southeast","plu4046","organic","2",1335.825
"Southeast","plu4046","organic","3",2093.96
"Southeast","plu4046","organic","4",2404.86
"Southeast","plu4046","organic","5",3752.342
"Southeast","plu4046","organic","6",2160.9075
"Southeast","plu4046","organic","7",1713.9025
"Southeast","plu4046","organic","8",1278.744
"Southeast","plu4046","organic","9",1105.0425
"Southeast","plu4046","organic","10",1053.2275
"Southeast","plu4046","organic","11",1130.256
"Southeast","plu4046","organic","12",1270.885
"Southeast","plu4225","conventional","1",206051.9625
"Southeast","plu4225","conventional","2",236502.7575
"Southeast","plu4225","conventional","3",198028.926
"Southeast","plu4225","conventional","4",251248.625
"Southeast","plu4225","conventional","5",264222.43
"Southeast","plu4225","conventional","6",224834.3475
"Southeast","plu4225","conventional","7",240609.905
"Southeast","plu4225","conventional","8",203013.036
"Southeast","plu4225","conventional","9",207940.07
"Southeast","plu4225","conventional","10",260559.6625
"Southeast","plu4225","conventional","11",176039.342
"Southeast","plu4225","conventional","12",178671.53
"Southeast","plu4225","organic","1",9952.3075
"Southeast","plu4225","organic","2",8646.7
"Southeast","plu4225","organic","3",9590.662
"Southeast","plu4225","organic","4",9735.2225
"Southeast","plu4225","organic","5",10303.386
"Southeast","plu4225","organic","6",9180.34
"Southeast","plu4225","organic","7",9602.395
"Southeast","plu4225","organic","8",8200.018
"Southeast","plu4225","organic","9",6670.545
"Southeast","plu4225","organic","10",6626.78
"Southeast","plu4225","organic","11",6161.298
"Southeast","plu4225","organic","12",6263.955
"Southeast","plu4770","conventional","1",22897.505
"Southeast","plu4770","conventional","2",3825.9575
"Southeast","plu4770","conventional","3",2780.702
"Southeast","plu4770","conventional","4",3012.0525
"Southeast","plu4770","conventional","5",4607.104
"Southeast","plu4770","conventional","6",4711.1475
"Southeast","plu4770","conventional","7",5228.9725
"Southeast","plu4770","conventional","8",5380.072
"Southeast","plu4770","conventional","9",3181.675
"Southeast","plu4770","conventional","10",3592.1975
"Southeast","plu4770","conventional","11",2514.904
"Southeast","plu4770","conventional","12",2141.9825
"Southeast","plu4770","organic","1",74.1675
"Southeast","plu4770","organic","2",65.92
"Southeast","plu4770","organic","3",44.816
"Southeast","plu4770","organic","4",24.105
"Southeast","plu4770","organic","5",52.312
"Southeast","plu4770","organic","6",66.6125
"Southeast","plu4770","organic","7",55.6975
"Southeast","plu4770","organic","8",36.418
"Southeast","plu4770","organic","9",53.885
"Southeast","plu4770","organic","10",54.865
"Southeast","plu4770","organic","11",62.162
"Southeast","plu4770","organic","12",63.515
"West","plu4046","conventional","1",1757431.495
"West","plu4046","conventional","2",2007091.8925
"West","plu4046","conventional","3",1721794.39
"West","plu4046","conventional","4",1884593.3175
"West","plu4046","conventional","5",2171423.034
"West","plu4046","conventional","6",1844548.9575
"West","plu4046","conventional","7",1840200.1825
"West","plu4046","conventional","8",1709923.408
"West","plu4046","conventional","9",1729334.9425
"West","plu4046","conventional","10",1652677.1625
"West","plu4046","conventional","11",1501917.47
"West","plu4046","conventional","12",1489305.0225
"West","plu4046","organic","1",35137.7825
"West","plu4046","organic","2",13582.9675
"West","plu4046","organic","3",10868.206
"West","plu4046","organic","4",28614.6875
"West","plu4046","organic","5",18839.582
"West","plu4046","organic","6",23489.285
"West","plu4046","organic","7",48203.105
"West","plu4046","organic","8",30108.344
"West","plu4046","organic","9",21226.0325
"West","plu4046","organic","10",14580.3325
"West","plu4046","organic","11",11829.41
"West","plu4046","organic","12",15101.31
"West","plu4225","conventional","1",941215.3775
"West","plu4225","conventional","2",866874.4175
"West","plu4225","conventional","3",750250.374
"West","plu4225","conventional","4",952975.2775
"West","plu4225","conventional","5",1057259.922
"West","plu4225","conventional","6",943523.8775
"West","plu4225","conventional","7",967208.8225
"West","plu4225","conventional","8",911182.22
"West","plu4225","conventional","9",990988.185
"West","plu4225","conventional","10",919791.9975
"West","plu4225","conventional","11",774699.34
"West","plu4225","conventional","12",775040.78
"West","plu4225","organic","1",37617.5825
"West","plu4225","organic","2",28614.945
"West","plu4225","organic","3",24986.746
"West","plu4225","organic","4",29456.9025
"West","plu4225","organic","5",37547.89
"West","plu4225","organic","6",30649.95
"West","plu4225","organic","7",25392.995
"West","plu4225","organic","8",25020.494
"West","plu4225","organic","9",28817.4175
"West","plu4225","organic","10",25521.2875
"West","plu4225","organic","11",24431.596
"West","plu4225","organic","12",26795.7125
"West","plu4770","conventional","1",48599.7825
"West","plu4770","conventional","2",48997.0975
"West","plu4770","conventional","3",28631.9
"West","plu4770","conventional","4",65699.19
"West","plu4770","conventional","5",33929.478
"West","plu4770","conventional","6",43146.68
"West","plu4770","conventional","7",51725.1325
"West","plu4770","conventional","8",51967.868
"West","plu4770","conventional","9",27497.195
"West","plu4770","conventional","10",24424.05
"West","plu4770","conventional","11",22228.754
"West","plu4770","conventional","12",22664.5675
"West","plu4770","organic","1",821.355
"West","plu4770","organic","2",1044.6475
"West","plu4770","organic","3",1517.362
"West","plu4770","organic","4",1455.415
"West","plu4770","organic","5",1272.516
"West","plu4770","organic","6",1432.8725
"West","plu4770","organic","7",1599.565
"West","plu4770","organic","8",714.788
"West","plu4770","organic","9",1421.22
"West","plu4770","organic","10",1030.74
"West","plu4770","organic","11",982.552
"West","plu4770","organic","12",1049.9975
